[2025-12-04 02:42:08] Export Request: {"start_date":"2025-11-27","end_date":"2025-12-04","start_time":"00:00","end_time":"23:59"} | IP: 127.0.0.1 | URL: /api/export_data.php?start_date=2025-11-27&end_date=2025-12-04&start_time=00%3A00&end_time=23%3A59
[2025-12-04 02:42:54] Export Request: [] | IP: 127.0.0.1 | URL: /api/export_data.php?
[2025-12-04 02:43:22] Export Request: {"period":"7","start_date":"2025-11-27","end_date":"2025-11-28","start_time":"00:00","end_time":"23:59"} | IP: 127.0.0.1 | URL: /api/export_data.php?period=7&start_date=2025-11-27&end_date=2025-11-28&start_time=00%3A00&end_time=23%3A59
[2025-12-09 13:05:59] Export Request: {"period":"7","start_date":"2025-11-28","end_date":"2025-11-28","start_time":"00:00","end_time":"23:59"} | IP: 127.0.0.1 | URL: /api/export_data.php?period=7&start_date=2025-11-28&end_date=2025-11-28&start_time=00%3A00&end_time=23%3A59
[2025-12-09 14:18:27] Export Request: {"start_date":"2025-11-08","end_date":"2025-12-09","start_time":"00:00","end_time":"23:59"} | IP: 127.0.0.1 | URL: /api/export_data.php?start_date=2025-11-08&end_date=2025-12-09&start_time=00%3A00&end_time=23%3A59
[2025-12-09 14:18:31] Export Request: {"start_date":"2025-11-08","end_date":"2025-12-08","start_time":"00:00","end_time":"23:59"} | IP: 127.0.0.1 | URL: /api/export_data.php?start_date=2025-11-08&end_date=2025-12-08&start_time=00%3A00&end_time=23%3A59
[2025-12-09 14:56:37] Export Request: {"start_date":"2025-11-28","end_date":"2025-12-28","start_time":"00:00","end_time":"23:59"} | IP: 127.0.0.1 | URL: /api/export_data.php?start_date=2025-11-28&end_date=2025-12-28&start_time=00%3A00&end_time=23%3A59
[2025-12-09 14:56:52] Export Request: {"action":"export","export_start_date":"2025-12-09","export_end_date":"2025-12-09","export_start_time":"00:00","export_end_time":"23:59"} | IP: 127.0.0.1 | URL: /api/export_data.php?action=export&export_start_date=2025-12-09&export_end_date=2025-12-09&export_start_time=00%3A00&export_end_time=23%3A59
[2025-12-16 22:51:57] Export Request: {"action":"export","export_start_date":"2025-12-16","export_end_date":"2025-12-16","export_start_time":"00:00","export_end_time":"23:59"} | IP: 127.0.0.1 | URL: /api/export_data.php?action=export&export_start_date=2025-12-16&export_end_date=2025-12-16&export_start_time=00%3A00&export_end_time=23%3A59
[2025-12-16 22:52:18] Export Request: {"action":"export","export_start_date":"2025-12-16","export_end_date":"2025-12-16","export_start_time":"00:00","export_end_time":"23:59"} | IP: 127.0.0.1 | URL: /api/export_data.php?action=export&export_start_date=2025-12-16&export_end_date=2025-12-16&export_start_time=00%3A00&export_end_time=23%3A59
[2025-12-16 22:52:44] Export Request: {"action":"export","export_start_date":"2025-12-16","export_end_date":"2025-12-16","export_start_time":"00:00","export_end_time":"22:52"} | IP: 127.0.0.1 | URL: /api/export_data.php?action=export&export_start_date=2025-12-16&export_end_date=2025-12-16&export_start_time=00%3A00&export_end_time=22%3A52
